,result
10,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 I-14 I-14 O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 B-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8
11,B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 B-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O B-14 I-14 I-14 I-14 O O B-14 I-14 I-14 I-14 O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 O O O O O O O O O O O O B-14 I-14 O O O O O O O O O B-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O B-14 O O O O O O B-12 I-12 I-12 I-12 I-12 O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O B-14 I-14 O O B-14 I-14 O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
12,B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 B-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 I-14 I-14 O O B-14 I-14 I-14 I-14 O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O B-14 I-14 O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O B-14 I-14 I-14 I-14 B-6 I-6 I-6 O O O O B-14 I-9 I-14 I-14 I-9 I-9 I-9 I-9 I-9 I-9 I-9 I-9 I-9 I-9 I-9 I-9 I-9 I-9 I-9 I-9 I-9 I-9 I-9 I-9 I-9 O O O O O O O O O B-12 I-12 I-12 O O O O O B-14 I-14 O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
13,B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-13 I-13 O O O O O O O O B-14 I-14 O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O B-14 I-14 O O O B-14 I-14 O O O O O B-14 I-14 O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O
14,O O O O O O O O O O O O O O O O O O O O O O O O O O O B-8 I-8 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O
15,B-14 I-14 B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O
16,B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 B-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 B-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 O O O O O O O B-6 I-6 I-6 O O O O O B-14 I-14 I-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 O B-12 I-12 I-12 O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O B-14 I-14 O I-14 O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O I-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 I-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O
17,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O
18,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 O B-12 I-12 I-12 O O O O O O O O O O O O O O O B-6 I-6 I-6 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
19,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O B-13 I-13 I-13 I-13 O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
20,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
21,B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 B-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O B-8 I-8 I-8 I-8 I-8 O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-8 I-8 I-8 I-8 I-8 O O O O O O O O O O O O O O O O B-14 I-14 I-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O B-8 I-8 I-8 I-8 I-8 O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 B-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 B-8 I-8 I-8 I-8 I-8 O O O O O O O O O O O O O B-8 I-8 I-8 I-8 I-8 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
22,O O O O O B-6 I-6 I-6 O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O B-13 I-13 I-13 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O I-14 O O O O O O O O O O B-14 I-14 B-14 I-14 O O O O O O O O O O B-7 I-7 I-7 I-7 I-7 I-7 I-7 I-7 I-7 I-7 I-7 I-7 I-7 I-7 I-7 I-7 O B-7 I-7 I-7 O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O B-7 I-7 I-7 I-7 I-7 I-7 I-7 I-7 I-7 O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O I-14 O O O O O
